Site,Annee,Tonnage,Dispo_globale,Heures_fonctionnement,Debit,Taux_refus,Nb_trieurs_poste
Le Havre,2023,37066.0,0.87,4685.0,7.702896411,33.5,14
Le Havre,2024,41554.0,0.839,4497.0,9.151313629,32.9,14
Le Havre,2025,42413.0,0.85,4372.0,9.720248827,31.0,14
Nantes,2023,41462.0,0.748,3577.0,11.550265319,22.6,20
Nantes,2024,51127.0,0.748,4090.0,12.458673745,24.7,20
Nantes,2025,53818.0,0.732,3995.0,13.244824764,25.2,20
Amiens,2023,32431.0,0.892,5978.0,4.680296583,29.1,13
Amiens,2024,33534.0,0.881,6445.0,4.812068551,33.1,13
Amiens,2025,34732.0,0.869,6046.0,5.482693723,27.0,13
Bègles,2023,51897.0,0.781,2954.0,17.881933747,21.7,18
Bègles,2024,49016.0,0.814,2995.0,15.947938239,24.0,18
Bègles,2025,58910.0,0.813,3019.0,18.947475985,26.8,18
Millau,2023,20961.0,0.693,2134.0,8.267857143,0.0,16
Millau,2024,21635.0,0.753,2210.0,9.004854369,0.0,16
Millau,2025,22654.0,0.809,2358.0,9.0,0.0,16
Paris 15,2023,33062.0,0.921,3288.0,9.987785517,23.5,20
Paris 15,2024,31983.0,0.886,3120.0,10.140240443,23.8,20
Paris 15,2025,33691.0,0.886,3201.0,10.037304133,25.3,20
Saran,2023,37939.0,0.822,4181.0,8.581269059,24.7,13.67
Saran,2024,39574.0,0.853,4317.0,8.612784611,27.1,13.67
Saran,2025,40446.0,0.843,4273.0,8.796702257,27.9,13.67
Sevran,2023,18585.0,0.91,3453.0,5.062199117,33.5,12
Sevran,2024,18382.0,0.865,3378.0,5.158127899,36.7,12
Sevran,2025,19361.0,0.894,3608.0,5.098435136,38.9,12
Vaux le Pénil,2023,23747.0,0.861,2944.0,6.085409023,,21
Vaux le Pénil,2024,24626.0,0.819,3180.0,6.277978263,,21
Vaux le Pénil,2025,22715.0,0.893,4022.0,5.940680602,,21
Portes les Valences,2023,36587.0,0.79,3000.0,11.55735492,21.1,13
Portes les Valences,2024,36911.0,0.817,3050.0,12.095336843,24.5,13
Portes les Valences,2025,38149.0,0.831,3100.0,12.37013425,25.7,13
Chézy,2023,22505.0,0.752,3236.0,6.418538241,13.2,4
Chézy,2024,22913.0,0.759,3298.0,6.424347352,14.6,4
Chézy,2025,23643.0,0.781,3157.0,6.941851922,14.6,4
Montpellier,2023,31244.0,0.713,2498.0,11.00032231,28.9,19
Montpellier,2024,28777.0,0.71,2478.0,10.918198537,33.4,19
Montpellier,2025,30948.0,0.717,2514.0,11.602314575,39.3,19
